chapter,chapter_description,code_category,code_category_description,icd_code,disease_description
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O31,Complications specific to multiple gestation
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O30,Multiple gestation
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O33,Maternal care for known or suspected disproportion
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O35,Maternal care for known or suspected fetal abnormality and damage
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O43,Placental disorders
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O42,Premature rupture of membranes
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O48,Prolonged pregnancy
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O41,Other disorders of amniotic fluid and membranes
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O36,Maternal care for other known or suspected fetal problems
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O46,"Antepartum haemorrhage, not elsewhere classified"
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O32,Maternal care for known or suspected malpresentation of fetus
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O40,Polyhydramnios
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O47,False labour
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O34,Maternal care for known or suspected abnormality of pelvic organs
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O45,Premature separation of placenta [abruptio placentae]
XV,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O44,Placenta praevia
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,,
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O88,Obstetric embolism
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O86,Other puerperal infections
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O90,"Complications of the puerperium, not elsewhere classified"
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O89,Complications of anaesthesia during the puerperium
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O91,Infections of breast associated with childbirth
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O92,Other disorders of breast and lactation associated with childbirth
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O87,Venous complications and haemorrhoids in the puerperium
XV,"Pregnancy, childbirth and the puerperium",O85-O92,Complications predominantly related to the puerperium,O85,Puerperal sepsis
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,,
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O02,Other abnormal products of conception
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O01,Hydatidiform mole
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O04,Medical abortion
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O00,Ectopic pregnancy
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O05,Other abortion
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O08,Complications following abortion and ectopic and molar pregnancy
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O03,Spontaneous abortion
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O07,Failed attempted abortion
XV,"Pregnancy, childbirth and the puerperium",O00-O08,Pregnancy with abortive outcome,O06,Unspecified abortion
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",,
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O13,Gestational [pregnancy-induced] hypertension
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O15,Eclampsia
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O11,Pre-eclampsia superimposed on chronic hypertension
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O14,Pre-eclampsia
XV,"Pregnancy, childbirth and the puerperium",O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",O16,Unspecified maternal hypertension
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,,
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84,Other interstitial pulmonary diseases
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J82,"Pulmonary eosinophilia, not elsewhere classified"
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J81,Pulmonary oedema
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J80,Adult respiratory distress syndrome
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,,
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J41,Simple and mucopurulent chronic bronchitis
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J40,"Bronchitis, not specified as acute or chronic"
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J42,Unspecified chronic bronchitis
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J43,Emphysema
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J44,Other chronic obstructive pulmonary disease
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J45,Asthma
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J47,Bronchiectasis
X,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J46,Status asthmaticus
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,,
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J37,Chronic laryngitis and laryngotracheitis
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30,Vasomotor and allergic rhinitis
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J38,"Diseases of vocal cords and larynx, not elsewhere classified"
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J35,Chronic diseases of tonsils and adenoids
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J36,Peritonsillar abscess
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J34,Other disorders of nose and nasal sinuses
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J39,Other diseases of upper respiratory tract
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J32,Chronic sinusitis
X,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J33,Nasal polyp
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,,
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85,Abscess of lung and mediastinum
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J86,Pyothorax
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J15,"Bacterial pneumonia, not elsewhere classified"
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J12,"Viral pneumonia, not elsewhere classified"
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J10,Influenza due to identified seasonal influenza virus
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J14,Pneumonia due to Haemophilus influenzae
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J11,"Influenza, virus not identified"
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J13,Pneumonia due to Streptococcus pneumoniae
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J09,Influenza due to identified zoonotic or pandemic influenza virus
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J18,"Pneumonia, organism unspecified"
X,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J17,Pneumonia in diseases classified elsewhere
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,,
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95,"Postprocedural respiratory disorders, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J99,Respiratory disorders in diseases classified elsewhere
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98,Other respiratory disorders
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J96,"Respiratory failure, not elsewhere classified"
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,,
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J90,"Pleural effusion, not elsewhere classified"
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J92,Pleural plaque
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J91,Pleural effusion in conditions classified elsewhere
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93,Pneumothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94,Other pleural conditions
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,,
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J60,Coalworker pneumoconiosis
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J61,Pneumoconiosis due to asbestos and other mineral fibres
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J62,Pneumoconiosis due to dust containing silica
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J66,Airway disease due to specific organic dust
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J64,Unspecified pneumoconiosis
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J69,Pneumonitis due to solids and liquids
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J65,Pneumoconiosis associated with tuberculosis
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J63,Pneumoconiosis due to other inorganic dusts
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70,Respiratory conditions due to other external agents
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J67,Hypersensitivity pneumonitis due to organic dust
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
X,Diseases of the respiratory system,J20-J22,Other acute lower respiratory infections,,
X,Diseases of the respiratory system,J20-J22,Other acute lower respiratory infections,J20,Acute bronchitis
X,Diseases of the respiratory system,J20-J22,Other acute lower respiratory infections,J21,Acute bronchiolitis
X,Diseases of the respiratory system,J20-J22,Other acute lower respiratory infections,J22,Unspecified acute lower respiratory infection
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,,
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J00,Acute nasopharyngitis [common cold]
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J05,Acute obstructive laryngitis [croup] and epiglottitis
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J02,Acute pharyngitis
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J01,Acute sinusitis
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J03,Acute tonsillitis
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J04,Acute laryngitis and tracheitis
X,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J06,Acute upper respiratory infections of multiple and unspecified sites
VII,Diseases of the eye and adnexa,H40-H42,Glaucoma,,
VII,Diseases of the eye and adnexa,H40-H42,Glaucoma,H42,Glaucoma in diseases classified elsewhere
VII,Diseases of the eye and adnexa,H40-H42,Glaucoma,H40,Glaucoma
VII,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",,
VII,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49,Paralytic strabismus
VII,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H51,Other disorders of binocular movement
VII,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H50,Other strabismus
VII,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H52,Disorders of refraction and accommodation
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",,
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H17,Corneal scars and opacities
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H16,Keratitis
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H18,Other disorders of cornea
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H19,Disorders of sclera and cornea in diseases classified elsewhere
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H20,Iridocyclitis
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H15,Disorders of sclera
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H21,Other disorders of iris and ciliary body
VII,Diseases of the eye and adnexa,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",H22,Disorders of iris and ciliary body in diseases classified elsewhere
VII,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,,
VII,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53,Visual disturbances
VII,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H54,Visual impairment including blindness (binocular or monocular)
VII,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,,
VII,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H58,Other disorders of eye and adnexa in diseases classified elsewhere
VII,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H57,Other disorders of eye and adnexa
VII,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H55,Nystagmus and other irregular eye movements
VII,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified"
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",,
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H00,Hordeolum and chalazion
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H01,Other inflammation of eyelid
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H04,Disorders of lacrimal system
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H02,Other disorders of eyelid
VII,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H05,Disorders of orbit
